project_id,borough,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,total_units
58492,Brooklyn,8,12,37,0,0,1,58
49938,Brooklyn,0,10,67,0,20,1,98
51179,Brooklyn,5,67,21,0,0,1,94
54637,Staten Island,0,0,1,0,0,0,1
55428,Manhattan,0,0,24,0,0,0,24
55428,Manhattan,0,0,269,0,0,0,269
55428,Manhattan,0,0,42,0,0,0,42
55428,Bronx,0,0,207,0,0,0,207
55428,Brooklyn,0,0,251,0,0,1,252
55428,Manhattan,0,0,80,0,0,0,80
58250,Brooklyn,0,0,0,0,1,0,1
50810,Queens,0,151,0,0,0,0,151
51103,Manhattan,0,0,116,0,0,0,116
51278,Queens,0,18,70,0,0,1,89
54636,Queens,0,0,1,0,0,0,1
54677,Queens,0,0,1,0,0,0,1
48731,Bronx,0,0,11,0,0,0,11
48731,Bronx,0,0,19,0,0,1,20
48731,Bronx,0,0,56,0,0,1,57
48731,Bronx,0,0,12,0,0,0,12
52610,Bronx,0,0,123,40,0,0,163
49711,Brooklyn,0,0,19,0,0,0,93
50184,Manhattan,0,0,8,0,0,0,8
50184,Manhattan,0,3,18,1,0,0,22
50184,Manhattan,0,7,10,0,0,0,17
50184,Manhattan,0,0,14,0,0,1,15
50184,Manhattan,0,3,12,0,0,0,15
50184,Manhattan,0,0,8,0,0,0,8
50184,Manhattan,0,2,6,0,0,0,8
50184,Manhattan,0,0,8,0,0,0,8
50184,Manhattan,0,0,8,0,0,0,8
50184,Manhattan,0,2,6,0,0,0,8
51363,Manhattan,0,0,169,0,0,0,844
51779,Queens,0,13,0,50,0,1,64
52666,Manhattan,0,11,0,0,42,1,54
52667,Bronx,0,12,45,0,0,1,58
52721,Bronx,45,5,1,2,0,1,54
52721,Bronx,41,11,2,0,0,0,54
52721,Bronx,38,9,5,1,0,1,54
52721,Bronx,6,1,0,0,0,0,7
52721,Bronx,33,0,2,0,0,1,36
52721,Bronx,17,0,2,0,0,1,20
52721,Bronx,29,2,3,0,0,0,34
52721,Bronx,51,8,9,1,0,1,70
52721,Bronx,41,5,1,0,0,1,48
52721,Bronx,33,5,2,1,0,1,42
52721,Bronx,35,4,3,0,0,1,43
52721,Bronx,34,6,2,1,0,0,43
52721,Bronx,20,6,3,0,0,1,30
52721,Bronx,9,3,2,2,0,0,16
52721,Bronx,24,2,1,0,0,0,27
52721,Bronx,51,3,1,1,0,1,57
52721,Bronx,38,2,0,0,0,1,41
54353,Brooklyn,0,2,0,0,0,0,2
55396,Staten Island,429,0,107,0,0,0,536
58511,Manhattan,0,3,142,0,0,1,146
65132,Brooklyn,0,0,3,0,0,0,15
54648,Queens,0,0,1,0,0,0,1
58513,Brooklyn,0,0,93,0,0,2,95
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,6,0,0,0,6
58513,Brooklyn,0,0,32,0,0,0,32
58513,Brooklyn,0,0,32,0,0,0,32
58513,Brooklyn,0,0,7,0,0,0,7
58513,Brooklyn,0,0,40,0,0,0,40
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,5,0,0,0,5
58513,Brooklyn,0,0,5,0,0,0,5
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,53,0,0,0,53
58513,Brooklyn,0,0,11,0,0,0,11
58513,Brooklyn,0,0,5,0,0,0,5
58513,Brooklyn,0,0,5,0,0,0,5
58513,Brooklyn,0,0,35,0,0,0,35
58513,Brooklyn,0,0,36,0,0,0,36
58513,Brooklyn,0,0,6,0,0,0,6
58513,Brooklyn,0,0,32,0,0,0,32
58513,Brooklyn,0,0,6,0,0,0,6
58513,Brooklyn,0,0,6,0,0,0,6
58513,Brooklyn,0,0,12,0,0,0,12
58513,Brooklyn,0,0,41,0,0,0,41
58513,Brooklyn,0,0,6,0,0,0,6
58513,Brooklyn,0,0,17,0,0,0,17
58513,Brooklyn,0,0,32,0,0,0,32
58513,Brooklyn,0,0,6,0,0,0,6
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,2,0,0,0,2
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58513,Brooklyn,0,0,4,0,0,0,4
58249,Staten Island,0,0,0,0,1,0,1
54651,Staten Island,0,0,1,0,0,0,1
50871,Brooklyn,0,0,21,0,0,0,105
51918,Manhattan,0,0,75,0,0,0,372
54642,Staten Island,0,0,0,1,0,0,1
55437,Brooklyn,0,15,75,26,181,1,298
52272,Brooklyn,0,0,54,0,0,0,270
50702,Brooklyn,0,0,19,0,0,0,94
54635,Staten Island,0,0,1,0,0,0,1
54647,Bronx,0,0,0,2,0,0,2
54638,Queens,0,0,1,0,0,0,1
54644,Queens,0,0,1,0,0,0,1
58510,Bronx,0,0,98,0,0,1,99
54640,Staten Island,0,0,1,0,0,0,1
54679,Manhattan,0,0,1,0,0,0,1
54566,Brooklyn,0,0,1,0,0,0,1
50467,Manhattan,0,0,11,0,0,0,55
52733,Manhattan,0,0,10,0,0,1,11
52733,Manhattan,0,0,51,2,0,1,54
52733,Manhattan,0,0,8,4,0,0,12
52733,Manhattan,0,0,18,25,0,1,44
52733,Manhattan,0,0,9,18,0,0,27
52733,Manhattan,0,0,25,24,0,0,49
52733,Manhattan,0,0,8,9,0,1,18
52733,Manhattan,0,0,13,0,0,0,13
52733,Manhattan,0,0,4,0,0,0,4
52733,Manhattan,0,0,12,0,0,0,12
52733,Manhattan,0,0,10,4,0,1,15
52733,Manhattan,0,0,2,8,0,0,10
52733,Manhattan,0,0,3,7,0,0,10
52733,Manhattan,0,0,8,6,0,1,15
52733,Manhattan,0,0,3,11,0,1,15
52733,Manhattan,0,0,6,10,0,0,16
52733,Manhattan,0,0,16,24,0,1,41
52733,Manhattan,0,0,0,7,0,0,7
52733,Manhattan,0,0,6,12,0,0,18
52733,Manhattan,0,0,8,0,0,0,8
54565,Brooklyn,0,0,0,1,0,0,1
54646,Queens,0,0,1,0,0,0,1
58248,Staten Island,0,0,0,0,1,0,1
58290,Queens,0,0,0,0,1,0,1
58508,Brooklyn,0,0,76,0,0,1,378
54643,Queens,0,1,0,0,0,0,1
65100,Brooklyn,0,0,2,0,0,0,8
53603,Bronx,0,0,2,0,0,0,2
54391,Queens,0,0,1,0,0,0,1
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
44265,Brooklyn,0,0,0,4,0,0,4
52318,Brooklyn,0,0,143,0,0,0,714
54411,Brooklyn,0,0,1,0,0,0,1
54535,Bronx,0,0,1,0,0,0,1
54554,Staten Island,0,0,1,0,0,0,1
54555,Staten Island,0,0,1,0,0,0,1
55467,Brooklyn,0,0,80,0,66,1,147
68431,Brooklyn,0,0,181,0,0,1,182
51297,Brooklyn,0,0,13,0,0,0,64
52075,Manhattan,0,0,22,0,0,0,56
53558,Manhattan,0,0,0,11,22,1,56
54559,Brooklyn,0,0,3,0,0,0,3
58193,Brooklyn,0,0,0,0,1,0,1
58289,Queens,0,0,0,0,1,0,1
54556,Brooklyn,2,0,0,0,0,0,2
54410,Brooklyn,0,0,1,0,0,0,1
54409,Queens,0,0,1,0,0,0,1
65138,Manhattan,0,0,2,0,0,0,8
53694,Queens,0,0,1,0,0,0,1
54403,Queens,0,0,1,0,0,0,1
