type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.578802000100005,-74.1016690004,Staten Island,05/25/2017 12:00:00 AM +0000,5,Staten Island
Free,LinkNYC - Citybridge,40.8188859899,-73.92921293970001,Bronx,11/08/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.82755199,-73.9259025195,Bronx,09/13/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8273559302,-73.92522252020001,Bronx,07/19/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8278247098,-73.9248328005,Bronx,07/15/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.831543000399996,-73.9226449896,Bronx,01/17/2017 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8681002896,-73.9007058795,Bronx,01/22/2018 12:00:00 AM +0000,2,Bronx
Free,Harlem,40.8128710001,-73.9493459995,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8670379998,-73.8965369996,Bronx,11/08/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8665882698,-73.8956537199,Bronx,11/11/2016 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.677588779699995,-73.9730618003,Brooklyn,04/24/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6761340504,-73.9718355401,Brooklyn,02/21/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6727480001,-73.9626939995,Brooklyn,02/14/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6756590004,-73.9635529999,Brooklyn,02/12/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.8245780002,-73.9521339999,New York,07/20/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.822703960300004,-73.9534982898,New York,07/19/2016 12:00:00 AM +0000,1,Manhattan
