INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
205177554,11/14/2019,00:12:00,MANHATTAN,25,0,,false,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1001927,234115,40.80925797900005,-73.93614553099997
205124101,11/13/2019,20:35:00,BROOKLYN,69,0,,false,,,,18-24,M,BLACK,1014941,171832,40.63827077700005,-73.88941816399995
205124100,11/13/2019,00:08:00,BRONX,43,0,,false,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1018876,241924,40.83064129700006,-73.87487918899996
205065107,11/12/2019,02:24:00,BRONX,44,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK HISPANIC,1007174,239543,40.82414425700006,-73.91717287899996
204971621,11/10/2019,22:34:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1008249,242113,40.83119531600005,-73.91327951999993
204971620,11/10/2019,19:30:00,BROOKLYN,71,0,SHOE STORE,false,18-24,M,BLACK,<18,M,BLACK,999380,181277,40.66423549600006,-73.94546506699999
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,18-24,F,BLACK,1004514,165224,40.62016320400005,-73.92700768599997
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,true,25-44,M,BLACK,18-24,F,BLACK,1004514,165224,40.62016320400005,-73.92700768599997
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,BLACK,1004514,165224,40.62016320400005,-73.92700768599997
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,true,25-44,M,BLACK,25-44,M,BLACK,1004514,165224,40.62016320400005,-73.92700768599997
204971623,11/10/2019,06:50:00,MANHATTAN,19,0,,false,,,,25-44,M,WHITE HISPANIC,996700,217648,40.76406937600007,-73.95505791899996
204971624,11/10/2019,02:48:00,MANHATTAN,34,0,,false,25-44,M,BLACK,25-44,F,BLACK,1004258,254745,40.86587636400003,-73.92766355499998
204971624,11/10/2019,02:48:00,MANHATTAN,34,0,,false,25-44,M,BLACK,18-24,M,BLACK,1004258,254745,40.86587636400003,-73.92766355499998
204971624,11/10/2019,02:48:00,MANHATTAN,34,0,,false,25-44,M,BLACK,25-44,M,BLACK,1004258,254745,40.86587636400003,-73.92766355499998
204493622,11/06/2019,22:36:00,BRONX,49,0,,false,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1021068,256159,40.86970325500005,-73.86688016399995
204493624,11/06/2019,21:21:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,WHITE HISPANIC,1002013,185753,40.67651622300008,-73.93596257699994
204493625,11/06/2019,02:27:00,BROOKLYN,72,0,,false,,,,25-44,M,BLACK,985720,182300,40.667056208000076,-73.99470257699994
204493623,11/05/2019,23:30:00,QUEENS,113,0,,false,,,,25-44,M,BLACK,1044124,190608,40.689657398000065,-73.78410196999994
204480329,11/05/2019,21:11:00,BROOKLYN,84,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,988761,194230,40.69980031700004,-73.98373278599996
204480329,11/05/2019,21:11:00,BROOKLYN,84,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,WHITE,988761,194230,40.69980031700004,-73.98373278599996
204464564,11/04/2019,13:40:00,BRONX,40,0,,false,45-64,M,BLACK,25-44,M,BLACK HISPANIC,1008120,238322,40.82079045300003,-73.91375915499998
204464564,11/04/2019,13:40:00,BRONX,40,0,,true,45-64,M,BLACK,25-44,M,BLACK HISPANIC,1008120,238322,40.82079045300003,-73.91375915499998
204464564,11/04/2019,13:40:00,BRONX,40,0,,false,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1008120,238322,40.82079045300003,-73.91375915499998
204464564,11/04/2019,13:40:00,BRONX,40,0,,true,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1008120,238322,40.82079045300003,-73.91375915499998
204468719,11/04/2019,02:41:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,WHITE,999925,214507,40.755443005000075,-73.94342324599995
204458418,11/03/2019,14:54:00,QUEENS,101,0,,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1050364,156970,40.597284244000036,-73.761930927
204458421,11/03/2019,00:26:00,BROOKLYN,88,0,,false,18-24,M,BLACK,18-24,M,BLACK,994729,192071,40.693869310000025,-73.96221290099999
204458419,11/02/2019,10:37:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,M,BLACK,1025538,259944,40.88007212500003,-73.85069487599996
204458422,11/02/2019,02:40:00,STATEN ISLAND,120,0,PVT HOUSE,false,,,,25-44,M,BLACK,962822,174282,40.645022746000045,-74.077216847
204458415,11/02/2019,02:09:00,MANHATTAN,23,0,,false,,,,25-44,F,BLACK,998751,226901,40.78946330000008,-73.94763400399995
204458423,11/02/2019,00:42:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,BLACK,997366,192877,40.69607807800003,-73.95270199199997
204458420,11/02/2019,00:24:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,WHITE HISPANIC,1000684,198151,40.710548430000074,-73.94072361899998
204458416,11/01/2019,05:00:00,BRONX,44,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,ASIAN / PACIFIC ISLANDER,1009312,246894,40.84431481700005,-73.90942043899997
204434559,10/31/2019,20:59:00,BROOKLYN,83,0,,true,,,,25-44,M,BLACK,1009342,190798,40.69034585500003,-73.90952141999998
204434561,10/31/2019,19:03:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,25-44,F,BLACK,25-44,M,BLACK,1010674,239150,40.82305580800004,-73.90452830099997
204434561,10/31/2019,19:03:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,M,BLACK,1010674,239150,40.82305580800004,-73.90452830099997
204434560,10/31/2019,14:17:00,BRONX,52,0,,false,,,,<18,M,WHITE HISPANIC,1012932,255857,40.86890454400003,-73.89629841699998
204424712,10/30/2019,19:55:00,BRONX,52,0,,false,,,,25-44,M,WHITE HISPANIC,1014260,256172,40.86976470700006,-73.891495476
204396946,10/29/2019,20:36:00,QUEENS,113,0,,false,18-24,M,BLACK,25-44,M,BLACK,1049021,189295,40.68601904400003,-73.76645659599995
204398628,10/29/2019,20:22:00,BROOKLYN,84,0,,false,<18,M,BLACK,25-44,M,BLACK,988740,194815,40.70140601600008,-73.983808132
204338715,10/28/2019,22:39:00,BROOKLYN,73,0,,false,,,,45-64,M,BLACK,1006602,185144,40.67483425900008,-73.91942041999994
204338717,10/28/2019,15:53:00,QUEENS,103,0,,false,<18,M,BLACK,<18,F,BLACK,1039709,196693,40.70638803100008,-73.79997184399997
204338716,10/28/2019,14:26:00,MANHATTAN,25,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,1001769,234797,40.811130194000036,-73.93671450599999
204340073,10/28/2019,12:19:00,BRONX,44,0,,false,25-44,M,UNKNOWN,18-24,M,BLACK,1008787,243961,40.83626606400002,-73.91132866299995
204294842,10/27/2019,18:14:00,BROOKLYN,79,0,,false,18-24,M,BLACK,18-24,F,BLACK,998611,187749,40.682000963000064,-73.94822315299997
204294846,10/27/2019,17:09:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1006769,241999,40.83088631600003,-73.91862797499994
