occur_date,occur_time,borough,precinct,vic_sex,latitude,longitude
08/04/2019,03:47:00,MANHATTAN,26,M,40.81043801200008,-73.952837473
08/03/2019,23:23:00,BROOKLYN,75,F,40.67301906900008,-73.87036942699996
08/03/2019,22:05:00,MANHATTAN,23,M,40.79898610500004,-73.94461786899996
08/03/2019,18:01:00,BRONX,42,M,40.83186604400004,-73.897769064
08/03/2019,02:45:00,BRONX,46,M,40.852645755000026,-73.92169917899997
07/31/2019,15:35:00,QUEENS,115,M,40.752788232000064,-73.86626921999994
07/30/2019,21:44:00,MANHATTAN,23,M,40.796126551000036,-73.94557011499995
07/30/2019,03:22:00,QUEENS,113,M,40.67803628700005,-73.78134910699998
07/29/2019,22:37:00,BRONX,42,F,40.83593960600007,-73.88646598899999
07/29/2019,22:05:00,BRONX,41,M,40.82377925000004,-73.89992047999993
07/29/2019,14:15:00,BRONX,48,M,40.85140742400005,-73.88508408799999
07/29/2019,02:18:00,BROOKLYN,81,M,40.67943445800007,-73.93211287499997
07/28/2019,22:40:00,BRONX,44,M,40.83976812900005,-73.91472118499998
07/28/2019,21:49:00,BRONX,45,M,40.84253385300008,-73.84523135199998
07/28/2019,20:14:00,BRONX,46,M,40.85143811800003,-73.91780037699993
07/28/2019,20:14:00,BRONX,46,M,40.85143811800003,-73.91780037699993
07/28/2019,14:35:00,MANHATTAN,30,M,40.81860066000007,-73.95246317599998
07/28/2019,04:00:00,BRONX,50,M,40.88311992000007,-73.90332096899994
07/28/2019,01:54:00,BROOKLYN,69,M,40.63434976900004,-73.90632950099996
07/28/2019,01:40:00,QUEENS,106,M,40.67422773900006,-73.85727348699999
07/28/2019,00:35:00,BRONX,41,M,40.814821817000045,-73.88654175399995
07/27/2019,22:53:00,BROOKLYN,73,F,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,F,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,F,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,F,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,M,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,M,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,M,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,M,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,M,40.657236613000066,-73.90075779799997
07/27/2019,22:53:00,BROOKLYN,73,M,40.657236613000066,-73.90075779799997
07/27/2019,09:08:00,BROOKLYN,75,M,40.664701666000035,-73.86733253799997
07/27/2019,01:15:00,BROOKLYN,73,M,40.684194302000044,-73.91608474599997
07/27/2019,00:30:00,MANHATTAN,33,M,40.83406831000008,-73.94294803999998
07/26/2019,21:15:00,BROOKLYN,79,M,40.68419972300006,-73.94866132899993
07/26/2019,03:35:00,BROOKLYN,75,M,40.675494798000045,-73.90065131699998
07/25/2019,17:49:00,BROOKLYN,71,M,40.669900788000064,-73.95883073299996
07/25/2019,02:17:00,QUEENS,113,M,40.69182345000007,-73.75420823699994
07/25/2019,02:17:00,QUEENS,113,M,40.69182345000007,-73.75420823699994
07/25/2019,02:17:00,QUEENS,113,M,40.69182345000007,-73.75420823699994
07/25/2019,02:17:00,QUEENS,113,M,40.69182345000007,-73.75420823699994
07/24/2019,23:20:00,BROOKLYN,83,M,40.68708841900008,-73.91389240999997
07/24/2019,19:56:00,BRONX,44,M,40.828473961000036,-73.91898142499997
07/24/2019,19:50:00,BROOKLYN,79,F,40.67919247000003,-73.94127786699994
07/24/2019,17:00:00,QUEENS,109,M,40.79149108400002,-73.81941282399998
07/24/2019,13:20:00,BRONX,47,M,40.87324459100006,-73.84135960699997
07/23/2019,19:49:00,BROOKLYN,69,M,40.633127726000055,-73.89304393799993
07/23/2019,02:10:00,BROOKLYN,90,M,40.70908739400005,-73.95748999799997
07/22/2019,22:27:00,BRONX,44,M,40.83722861900003,-73.90678471699994
07/21/2019,22:33:00,BRONX,45,M,40.821584683000026,-73.82141588799993
07/21/2019,15:22:00,MANHATTAN,23,M,40.79585588600002,-73.94787095499998
07/21/2019,02:00:00,BROOKLYN,75,M,40.65449240100002,-73.886533307
07/21/2019,01:58:00,BROOKLYN,60,M,40.57557363000007,-73.98120362499998
07/20/2019,05:00:00,QUEENS,114,M,40.75493348100008,-73.91039019299996
07/19/2019,23:50:00,BRONX,46,M,40.84932069000007,-73.91235948099995
07/19/2019,23:50:00,BRONX,46,M,40.84932069000007,-73.91235948099995
07/19/2019,20:54:00,BRONX,42,M,40.827285732000064,-73.90490886099997
07/19/2019,18:44:00,BRONX,46,M,40.85590689000002,-73.89769596199994
07/17/2019,16:38:00,QUEENS,114,M,40.75416455100003,-73.94465152299993
07/17/2019,07:33:00,MANHATTAN,25,M,40.806617895000045,-73.93676575499995
07/16/2019,21:30:00,MANHATTAN,23,M,40.79708858400005,-73.94274857999993
07/16/2019,21:30:00,MANHATTAN,23,M,40.79708858400005,-73.94274857999993
07/15/2019,17:35:00,MANHATTAN,25,M,40.79930825400004,-73.94112857099998
07/15/2019,01:00:00,MANHATTAN,25,M,40.799232486000044,-73.93305619799997
07/15/2019,01:00:00,MANHATTAN,25,M,40.799232486000044,-73.93305619799997
07/15/2019,00:07:00,BROOKLYN,73,M,40.66150226400004,-73.90766103699997
07/14/2019,22:43:00,BROOKLYN,73,M,40.667573424000075,-73.90729576599993
07/14/2019,03:45:00,BRONX,45,M,40.83079891400007,-73.82694879599995
07/14/2019,02:22:00,MANHATTAN,25,M,40.81052442400005,-73.93821424599997
07/14/2019,01:30:00,BROOKLYN,81,M,40.683045618000044,-73.92609516299996
07/14/2019,00:28:00,BROOKLYN,73,M,40.662767503000055,-73.90752952599996
07/14/2019,00:03:00,BROOKLYN,67,M,40.663569288000076,-73.92284026399994
07/14/2019,00:03:00,BROOKLYN,67,M,40.663569288000076,-73.92284026399994
07/13/2019,23:25:00,BROOKLYN,81,M,40.67805543000002,-73.93018906599998
07/13/2019,22:56:00,BRONX,48,M,40.84507992600004,-73.89264894999997
07/13/2019,21:43:00,BRONX,46,M,40.85004960500004,-73.90074122799997
07/13/2019,02:45:00,MANHATTAN,9,M,40.720813298000046,-73.97813591099998
07/13/2019,02:45:00,MANHATTAN,9,M,40.720813298000046,-73.97813591099998
07/13/2019,02:45:00,MANHATTAN,9,M,40.720813298000046,-73.97813591099998
07/13/2019,00:43:00,MANHATTAN,23,F,40.788845063000046,-73.94617553799998
07/13/2019,00:43:00,MANHATTAN,23,M,40.788845063000046,-73.94617553799998
07/13/2019,00:43:00,MANHATTAN,23,M,40.788845063000046,-73.94617553799998
07/12/2019,22:50:00,QUEENS,115,M,40.75211177400007,-73.87242800499997
07/12/2019,22:35:00,QUEENS,113,F,40.68397606800004,-73.78283677199995
07/12/2019,01:50:00,QUEENS,109,M,40.74294374700002,-73.82772191799995
07/11/2019,21:45:00,BRONX,46,M,40.85837313300004,-73.89940208399997
07/11/2019,21:45:00,BRONX,46,M,40.85837313300004,-73.89940208399997
07/10/2019,02:56:00,BROOKLYN,69,M,40.64929346200007,-73.89791186799994
